Eval Eval S17 0 2 it3 Info1 PAde Amphi
TDx TDx S4 3 1 it3 Info1x PAde TD27
TDx TDx S5 1 1 it3 Info1x PAde TD27
TDy TDy S4 3 5 it3 Info1y PAde SCC
TDy TDy S5 1 5 it3 Info1y PAde SCC
TPa TPa S8 1 16 it3 Info1a PAde TR
TPa TPa S12 2 1 it3 Info1a PAde Mul
TPa TPa S13 3 5 it3 Info1a PAde Res
TPa TQa S11 4 5 it3 Info1a PAde TD13
TPb TPb S8 0 16 it3 Info1b PAde IG
TPb TPb S12 2 5 it3 Info1b PAde Res
TPb TPb S13 4 12 it3 Info1b PAde IG
TPb TQb S11 4 12 it3 Info1b PAde SCC
TPc TPc S8 1 12 it3 Info1c PAde Mul
TPc TPc S12 2 12 it3 Info1c PAde Res
TPc TPc S13 4 5 it3 Info1c PAde Mul
TPc TQc S11 4 1 it3 Info1c PAde TD27
TPd TPd S8 0 12 it3 Info1d PAde Mul
TPd TPd S12 2 16 it3 Info1d PAde Mul
TPd TPd S13 3 1 it3 Info1d PAde TR
TPd TQd S11 4 16 it3 Info1d PAde SC3
