CM CM S4 0 1 it3 Info1 PEve Amphi
TDx TDx S10 1 5 it3 Info1x PEve SC3
TDy TDy S10 1 1 it3 Info1y PEve SCC
TPa TPa S4 2 5 it3 Info1a PEve Mul
TPa TPa S10 1 12 it3 Info1a PEve Mul
TPa TPa S10 1 16 it3 Info1a PEve Mul
TPa TPa S12 0 5 it3 Info1a PEve IG
TPa TPsda S17 1 5 it3 Info1a SDie TR
TPa TPsda S18 1 1 it3 Info1a SDie IG
TPa TPsda S19 0 1 it3 Info1a SDie IG
TPb TPb S4 2 12 it3 Info1b SAbi Res
TPb TPb S10 1 16 it3 Info1b SAbi Res
TPb TPb S10 1 12 it3 Info1b SAbi Res
TPb TPb S12 0 5 it3 Info1b SAbi Mul
TPb TPsdb S17 1 16 it3 Info1b SDie TR
TPb TPsdb S18 1 12 it3 Info1b SDie TR
TPb TPsdb S19 0 5 it3 Info1b SDie TR
TPc TPc S4 2 5 it3 Info1c SAbi IG
TPc TPc S10 2 12 it3 Info1c SAbi Mul
TPc TPc S10 2 16 it3 Info1c SAbi Mul
TPc TPc S12 0 1 it3 Info1c SAbi Mul
TPc TPsdc S17 1 1 it3 Info1c SDie TR
TPc TPsdc S18 1 5 it3 Info1c SDie Mul
TPc TPsdc S19 0 12 it3 Info1c SDie Mul
TPd TPd S10 2 5 it3 Info1d SAbi Res
TPd TPd S10 2 1 it3 Info1d SAbi Res
TPd TPd S4 2 16 it3 Info1d SAbi TR
TPd TP4d S12 0 1 it3 Info1d PEve IG
TPd TPsdd S17 1 12 it3 Info1d SDie TR
TPd TPsdd S18 1 16 it3 Info1d SDie Res
TPd TPsdd S19 0 16 it3 Info1d SDie Res
