Eval Eval S13 3 2 it3 Info1 PAde Amphi
TDx TDx S4 1 16 it3 Info1x PAde TD13
TDx TDx S4 2 12 it3 Info1x PAde SC3
TDx TDx S4 4 12 it3 Info1x PAde TD13
TDx TDx S5 0 5 it3 Info1x PAde SC3
TDx TDx S5 2 16 it3 Info1x PAde SC3
TDx TDx S5 4 1 it3 Info1x PAde SC3
TDx TDx S6 0 5 it3 Info1x PAde SCC
TDx TDx S6 3 5 it3 Info1x PAde TD13
TDx TDx S7 2 5 it3 Info1x PAde SC3
TDy TDy S4 1 12 it3 Info1y PAde TD13
TDy TDy S4 2 16 it3 Info1y PAde SC3
TDy TDy S4 4 5 it3 Info1y PAde TD13
TDy TDy S5 0 12 it3 Info1y PAde SC3
TDy TDy S5 2 12 it3 Info1y PAde SC3
TDy TDy S5 4 5 it3 Info1y PAde SC3
TDy TDy S6 0 1 it3 Info1y PAde SCC
TDy TDy S6 3 1 it3 Info1y PAde TD13
TDy TDy S7 2 1 it3 Info1y PAde SC3
TPa TPa S6 2 16 it3 Info1a PAde TR
TPa TPa S7 1 16 it3 Info1a PAde TR
TPa TPa S7 4 1 it3 Info1a PAde TR
TPa TPa S12 1 1 it3 Info1a PAde TR
TPa TQa S11 0 16 it3 Info1a PAde SC3
TPa TQa S11 2 12 it3 Info1a PAde SC3
TPb TPb S6 2 5 it3 Info1b PAde TR
TPb TPb S7 1 5 it3 Info1b PAde TR
TPb TPb S7 4 12 it3 Info1b PAde TR
TPb TPb S12 1 12 it3 Info1b PAde TR
TPb TQb S11 0 5 it3 Info1b PAde SC3
TPb TQb S11 2 16 it3 Info1b PAde SC3
TPc TPc S6 2 12 it3 Info1c PAde TR
TPc TPc S7 1 12 it3 Info1c PAde TR
TPc TPc S7 4 5 it3 Info1c PAde TR
TPc TPc S12 1 5 it3 Info1c PAde TR
TPc TQc S11 0 12 it3 Info1c PAde SC3
TPc TQc S11 2 5 it3 Info1c PAde SC3
TPd TPd S6 2 1 it3 Info1d PAde TR
TPd TPd S7 1 1 it3 Info1d PAde TR
TPd TPd S7 4 16 it3 Info1d PAde TR
TPd TPd S12 1 16 it3 Info1d PAde TR
TPd TQd S11 0 1 it3 Info1d PAde SC3
TPd TQd S11 2 1 it3 Info1d PAde SC3
