CM CM S4 0 1 it3 Info1 PEve Amphi
TDx TDx S11 0 12 it3 Info1x PEve SCC
TDy TDy S11 0 16 it3 Info1y PEve SCC
TPa TPpea S4 2 5 it3 Info1a PEve TR
TPa TPpea S11 2 1 it3 Info1a PEve Mul
TPa TPpea S11 2 5 it3 Info1a PEve Mul
TPa TPema S14 4 12 it3 Info1a PEve Mul
TPa TPsda S19 4 16 it3 Info1a SDie IG
TPa TPsda S20 0 1 it3 Info1a SDie IG
TPa TPsda S21 1 5 it3 Info1a SDie Mul
TPb TPpeb S4 2 16 it3 Info1b PEve TR
TPb TPpeb S11 4 1 it3 Info1b PEve Res
TPb TPpeb S11 4 5 it3 Info1b PEve Res
TPb TPemb S14 4 5 it3 Info1b PEve Mul
TPb TPsdb S19 4 5 it3 Info1b SDie IG
TPb TPsdb S20 0 12 it3 Info1b SDie IG
TPb TPsdb S21 1 16 it3 Info1b SDie Mul
TPc TPpec S4 2 1 it3 Info1c PEve TR
TPc TPpec S11 4 12 it3 Info1c PEve Res
TPc TPpec S11 4 16 it3 Info1c PEve Res
TPc TPemc S14 4 16 it3 Info1c PEve Mul
TPc TPsdc S19 4 1 it3 Info1c SDie IG
TPc TPsdc S20 0 5 it3 Info1c SDie IG
TPc TPsdc S21 1 1 it3 Info1c SDie Mul
TPd TPped S4 2 12 it3 Info1d PEve TR
TPd TPped S11 2 12 it3 Info1d PEve Mul
TPd TPped S11 2 16 it3 Info1d PEve Mul
TPd TPemd S14 4 1 it3 Info1d PEve Mul
TPd TPsdd S19 4 12 it3 Info1d SDie IG
TPd TPsdd S20 0 16 it3 Info1d SDie IG
TPd TPsdd S21 1 12 it3 Info1d SDie Mul
