CM CM S4 0 1 it3 Info2 BDav SC3
TDx TDbdx S4 1 12 it3 Info2x BDav TD27
TDx TDbdx S5 4 16 it3 Info2x BDav SCC
TDx TDbdx S6 0 16 it3 Info2x BDav SC3
TDx TDmmx S18 4 5 it3 Info2x MMin TD13
TDx TDmmx S18 3 5 it3 Info2x MMin TD13
TDy TDbdy S4 1 5 it3 Info2y BDav TD27
TDy TDbdy S5 4 1 it3 Info2y BDav SCC
TDy TDbdy S6 0 12 it3 Info2y BDav SC3
TDy TDmmy S18 4 1 it3 Info2y MMin TD13
TDy TDmmy S18 3 1 it3 Info2y MMin TD13
TPa TPbda S4 4 1 it3 Info2A BDav Mul
TPa TPbda S5 0 12 it3 Info2A BDav Mul
TPa TPbda S5 3 1 it3 Info2A BDav Mul
TPa TPmma S18 4 16 it3 Info2A MMin TR
TPc TPbdc S4 3 5 it3 Info2C BDav Mul
TPc TPbdc S5 0 16 it3 Info2C BDav Mul
TPc TPbdc S5 3 5 it3 Info2C BDav Mul
TPc TPmmc S18 4 12 it3 Info2C MMin TR
