CM CM S36 2 16 it3 Info1 ABic Amphi
TDx TMx S37 2 1 it3 Info1x PVil IG
TDx TMx S37 2 12 it3 Info1x PVil IG
TDy TMy S37 2 5 it3 Info1y PVil IG
TDy TMy S37 2 16 it3 Info1y PVil IG
TPa TPapv S38 2 12 it3 Info1a PVil IN
TPa TPapv S39 1 12 it3 Info1a PVil Mul
TPa TPapv S42 3 5 it3 Info1a PVil Res
TPa TPaab S37 4 12 it3 Info1a ABic IN
TPa TPaab S38 4 5 it3 Info1a ABic IN
TPa TPaab S39 4 16 it3 Info1a ABic TR
TPb TPbpv S38 2 1 it3 Info1b PVil IN
TPb TPbpv S39 2 5 it3 Info1b PVil IN
TPb TPbpv S42 0 16 it3 Info1b PVil Res
TPb TPbab S37 4 16 it3 Info1b ABic IN
TPb TPbab S38 2 12 it3 Info1b ABic TR
TPb TPbab S39 4 5 it3 Info1b ABic TR
TPc TPcpv S38 1 1 it3 Info1c PVil IN
TPc TPcpv S39 3 5 it3 Info1c PVil IN
TPc TPcpv S42 3 1 it3 Info1c PVil Res
TPc TPcab S37 1 1 it3 Info1c ABic IN
TPc TPcab S38 4 12 it3 Info1c ABic IN
TPc TPcab S39 4 1 it3 Info1c ABic IG
TPd TPdpv S38 2 5 it3 Info1d PVil IN
TPd TPdpv S39 2 12 it3 Info1d PVil IN
TPd TPdpv S42 0 12 it3 Info1d PVil Res
TPd TPdab S37 2 12 it3 Info1d ABic IN
TPd TPdab S38 2 16 it3 Info1d ABic IN
TPd TPdab S39 4 12 it3 Info1d ABic TR
